epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3161.22,1.56161,1.4811,1.48998,0.47687,0.61546,0.61173,0.34866,1.4965,1.39469,1.48763,0.00083764,0.00083764,0.00083764
43,3249.16,1.60375,1.47596,1.50509,0.52767,0.708,0.63989,0.32937,1.7593,1.42429,1.61941,0.00083368,0.00083368,0.00083368
44,3327.22,1.52587,1.41049,1.45711,0.77359,0.47974,0.59827,0.32809,1.55778,1.44923,1.50491,0.00082972,0.00082972,0.00082972
45,3387.03,1.53512,1.43183,1.4821,0.61701,0.59434,0.6211,0.3144,1.61352,1.44264,1.56636,0.00082576,0.00082576,0.00082576
46,3469.45,1.52389,1.42943,1.47129,0.44669,0.65898,0.62457,0.34221,1.55469,1.38607,1.53787,0.0008218,0.0008218,0.0008218
47,3531.96,1.53063,1.40616,1.46818,0.56381,0.73177,0.677,0.37197,1.47192,1.37099,1.47433,0.00081784,0.00081784,0.00081784
48,3595.89,1.5184,1.39998,1.45991,0.729,0.57586,0.63241,0.36857,1.50189,1.34304,1.46114,0.00081388,0.00081388,0.00081388
49,3647.45,1.501,1.35312,1.42836,0.72679,0.55895,0.64074,0.3728,1.51679,1.38938,1.49765,0.00080992,0.00080992,0.00080992
50,3733.32,1.52031,1.38513,1.47455,0.55591,0.64609,0.64564,0.35857,1.59195,1.44126,1.55901,0.00080596,0.00080596,0.00080596
51,3810.07,1.51613,1.37654,1.46314,0.55982,0.66935,0.61656,0.34409,1.55674,1.3879,1.53801,0.000802,0.000802,0.000802
52,3896.69,1.49296,1.33718,1.44543,0.50541,0.70406,0.58258,0.33597,1.49993,1.42053,1.52287,0.00079804,0.00079804,0.00079804
53,3961.43,1.53575,1.39325,1.48502,0.73479,0.59306,0.69619,0.39754,1.43921,1.27329,1.4437,0.00079408,0.00079408,0.00079408
54,4017.19,1.49667,1.34624,1.45273,0.5923,0.69977,0.69675,0.37098,1.46454,1.30778,1.46444,0.00079012,0.00079012,0.00079012
55,4085,1.47872,1.32345,1.44712,0.71622,0.75486,0.73422,0.38766,1.56413,1.20594,1.51065,0.00078616,0.00078616,0.00078616
56,4165.73,1.49088,1.29736,1.43423,0.66828,0.73971,0.69672,0.38434,1.64009,1.34764,1.57231,0.0007822,0.0007822,0.0007822
57,4249.27,1.47144,1.28732,1.42163,0.63833,0.65115,0.6677,0.352,1.63572,1.37046,1.5615,0.00077824,0.00077824,0.00077824
58,4313.16,1.49339,1.32916,1.44256,0.60277,0.64551,0.64627,0.38929,1.44242,1.36054,1.45011,0.00077428,0.00077428,0.00077428
59,4395.88,1.51854,1.32443,1.48375,0.63361,0.65584,0.65901,0.3179,1.86852,1.45849,1.72997,0.00077032,0.00077032,0.00077032
60,4464.35,1.51251,1.31319,1.472,0.75429,0.61536,0.689,0.4073,1.41504,1.26711,1.42137,0.00076636,0.00076636,0.00076636
61,4514.24,1.47942,1.29097,1.41885,0.78183,0.65403,0.71004,0.41778,1.45049,1.29336,1.45145,0.0007624,0.0007624,0.0007624
62,4606.27,1.46708,1.30109,1.44062,0.7392,0.57109,0.64308,0.35269,1.48988,1.33442,1.48539,0.00075844,0.00075844,0.00075844
63,4670.12,1.46271,1.26517,1.41135,0.63958,0.64871,0.66737,0.38959,1.46329,1.33447,1.47877,0.00075448,0.00075448,0.00075448
64,4765.02,1.50656,1.3215,1.44826,0.69486,0.68826,0.71149,0.41997,1.4705,1.2734,1.45914,0.00075052,0.00075052,0.00075052
65,4854.77,1.45567,1.22902,1.42431,0.82866,0.60731,0.70148,0.39343,1.53905,1.2355,1.50035,0.00074656,0.00074656,0.00074656
66,4914.19,1.45,1.26297,1.42287,0.7866,0.61621,0.64514,0.37315,1.41131,1.27356,1.4294,0.0007426,0.0007426,0.0007426
67,4975.91,1.4552,1.22813,1.42875,0.77402,0.70361,0.74382,0.42442,1.45598,1.23531,1.44626,0.00073864,0.00073864,0.00073864
68,5039.62,1.46145,1.19352,1.40987,0.70627,0.69235,0.7093,0.42761,1.45305,1.21693,1.43523,0.00073468,0.00073468,0.00073468
69,5106.33,1.43265,1.19146,1.39255,0.71752,0.70683,0.74017,0.41733,1.52672,1.20502,1.47672,0.00073072,0.00073072,0.00073072
70,5189.13,1.44109,1.18346,1.41638,0.8074,0.63242,0.71838,0.42919,1.45015,1.24698,1.456,0.00072676,0.00072676,0.00072676
71,5278.55,1.42195,1.17382,1.40269,0.75846,0.6538,0.70795,0.44423,1.46212,1.28887,1.44989,0.0007228,0.0007228,0.0007228
72,5338.73,1.41043,1.18258,1.37762,0.71689,0.68242,0.70925,0.43374,1.51301,1.33455,1.46716,0.00071884,0.00071884,0.00071884
73,5399.16,1.41789,1.18709,1.37958,0.77664,0.76019,0.74303,0.46582,1.38405,1.14352,1.42069,0.00071488,0.00071488,0.00071488
74,5484.52,1.44568,1.21128,1.41847,0.70594,0.76886,0.75622,0.44465,1.43312,1.22851,1.44966,0.00071092,0.00071092,0.00071092
75,5544.18,1.4273,1.19257,1.40244,0.74609,0.67457,0.76011,0.45153,1.45183,1.21784,1.45873,0.00070696,0.00070696,0.00070696
76,5610.03,1.39658,1.13654,1.38295,0.85428,0.69797,0.75645,0.42717,1.45489,1.15931,1.47578,0.000703,0.000703,0.000703
77,5696.54,1.4097,1.18036,1.3922,0.67974,0.71786,0.70435,0.40734,1.37391,1.21623,1.43246,0.00069904,0.00069904,0.00069904
78,5750.34,1.41788,1.15852,1.40995,0.70047,0.65001,0.70041,0.41823,1.34007,1.23572,1.39223,0.00069508,0.00069508,0.00069508
79,5855.88,1.40273,1.13847,1.38713,0.6792,0.69413,0.70928,0.40521,1.40833,1.21348,1.43526,0.00069112,0.00069112,0.00069112
80,5915.88,1.4019,1.14641,1.38368,0.80122,0.68608,0.72996,0.42294,1.43144,1.24656,1.41923,0.00068716,0.00068716,0.00068716
81,5987.36,1.40302,1.1396,1.38887,0.76793,0.62033,0.73728,0.42904,1.4812,1.21956,1.48341,0.0006832,0.0006832,0.0006832
82,6068.63,1.3782,1.11502,1.36037,0.66379,0.73817,0.72208,0.41139,1.43154,1.24805,1.45201,0.00067924,0.00067924,0.00067924
83,6137.5,1.34953,1.08708,1.37131,0.75942,0.68674,0.76605,0.43012,1.48608,1.23883,1.47496,0.00067528,0.00067528,0.00067528
84,6228.18,1.37743,1.12666,1.36549,0.62231,0.80579,0.73973,0.42193,1.42404,1.19395,1.44438,0.00067132,0.00067132,0.00067132
85,6303.27,1.34031,1.08001,1.34185,0.75597,0.6051,0.71075,0.41196,1.4514,1.27548,1.48347,0.00066736,0.00066736,0.00066736
86,6362.7,1.38357,1.11529,1.38558,0.86078,0.64051,0.75393,0.45387,1.38416,1.12144,1.41336,0.0006634,0.0006634,0.0006634
87,6425.63,1.3949,1.08358,1.37469,0.81529,0.66749,0.74166,0.46265,1.34337,1.15459,1.39254,0.00065944,0.00065944,0.00065944
88,6511.98,1.36601,1.08287,1.37472,0.72733,0.73247,0.75007,0.44113,1.51001,1.1632,1.48378,0.00065548,0.00065548,0.00065548
89,6607.06,1.35379,1.06485,1.34675,0.85044,0.69524,0.77343,0.45849,1.35575,1.09103,1.3855,0.00065152,0.00065152,0.00065152
90,6666.43,1.34739,1.05358,1.35537,0.68143,0.75575,0.79753,0.43221,1.48837,1.13477,1.45026,0.00064756,0.00064756,0.00064756
91,6757.32,1.35585,1.08288,1.35847,0.7967,0.68902,0.75375,0.48407,1.35334,1.22004,1.36865,0.0006436,0.0006436,0.0006436
92,6849.08,1.37518,1.07802,1.36374,0.72025,0.74202,0.79863,0.47405,1.41692,1.11214,1.42197,0.00063964,0.00063964,0.00063964
93,6920.08,1.3447,1.04773,1.34184,0.89112,0.7501,0.81092,0.47204,1.51031,1.11151,1.48244,0.00063568,0.00063568,0.00063568
94,7012.47,1.32718,1.03639,1.33655,0.77018,0.77502,0.81946,0.48327,1.41483,1.08539,1.40605,0.00063172,0.00063172,0.00063172
95,7099.66,1.34432,1.04964,1.36025,0.79551,0.76213,0.81417,0.47816,1.45562,1.09164,1.44252,0.00062776,0.00062776,0.00062776
96,7194.72,1.30975,1.03084,1.32049,0.6758,0.79026,0.77473,0.46877,1.37678,1.09018,1.40932,0.0006238,0.0006238,0.0006238
97,7286.81,1.31934,1.03785,1.34446,0.85204,0.68519,0.76683,0.452,1.44787,1.05635,1.44196,0.00061984,0.00061984,0.00061984
98,7368.54,1.34058,1.05725,1.33918,0.81458,0.75239,0.79909,0.52288,1.32004,1.07058,1.36469,0.00061588,0.00061588,0.00061588
99,7454.9,1.31593,1.0134,1.32384,0.7549,0.78624,0.80567,0.45524,1.455,1.06903,1.44339,0.00061192,0.00061192,0.00061192
100,7521.9,1.33839,1.04008,1.34389,0.80865,0.66965,0.73553,0.44254,1.32908,1.17471,1.38297,0.00060796,0.00060796,0.00060796
101,7597.13,1.33041,1.04016,1.34295,0.76171,0.70713,0.76994,0.46449,1.40744,1.13462,1.43499,0.000604,0.000604,0.000604
102,7661.62,1.32727,1.03328,1.33859,0.81834,0.75498,0.79606,0.448,1.44452,1.13467,1.47717,0.00060004,0.00060004,0.00060004
103,7744.86,1.31678,1.00682,1.33581,0.72502,0.79549,0.78612,0.46116,1.38555,1.07404,1.39621,0.00059608,0.00059608,0.00059608
104,7836.95,1.32929,1.03738,1.34252,0.82302,0.70643,0.7867,0.43799,1.46024,1.11927,1.46869,0.00059212,0.00059212,0.00059212
105,7930.06,1.29675,0.99424,1.31624,0.84031,0.72359,0.79215,0.46431,1.44637,1.00067,1.42651,0.00058816,0.00058816,0.00058816
106,7990.86,1.288,0.97784,1.3212,0.70478,0.80916,0.80907,0.4745,1.37327,1.05579,1.41281,0.0005842,0.0005842,0.0005842
107,8048.18,1.3023,0.98395,1.33689,0.78836,0.71391,0.79698,0.46551,1.36529,1.00558,1.3829,0.00058024,0.00058024,0.00058024
108,8133.17,1.31412,0.99961,1.34229,0.80267,0.78473,0.80021,0.48995,1.29862,1.05835,1.36352,0.00057628,0.00057628,0.00057628
109,8202.37,1.26126,0.95126,1.29262,0.74282,0.76843,0.79756,0.46471,1.39714,1.01981,1.42233,0.00057232,0.00057232,0.00057232
110,8267.8,1.28559,0.9683,1.32397,0.74903,0.80215,0.82838,0.46546,1.46311,1.03203,1.44676,0.00056836,0.00056836,0.00056836
111,8338.84,1.29425,0.97141,1.30695,0.85673,0.77937,0.82875,0.47935,1.3968,1.08614,1.39945,0.0005644,0.0005644,0.0005644
112,8426.32,1.31795,0.99,1.33552,0.76549,0.80047,0.84198,0.48877,1.40538,1.05374,1.41876,0.00056044,0.00056044,0.00056044
113,8468.59,1.30564,0.97204,1.32639,0.79587,0.68272,0.76904,0.47916,1.36225,1.05938,1.43151,0.00055648,0.00055648,0.00055648
114,8565.91,1.28393,0.95896,1.32308,0.74552,0.77783,0.81463,0.49934,1.32681,1.0675,1.37507,0.00055252,0.00055252,0.00055252
115,8634.24,1.27834,0.94471,1.31112,0.7822,0.72007,0.78783,0.48944,1.47697,1.10181,1.45557,0.00054856,0.00054856,0.00054856
116,8732.27,1.27054,0.95313,1.30878,0.84027,0.78715,0.82753,0.52182,1.34121,1.03855,1.39258,0.0005446,0.0005446,0.0005446
